"","res_name"
"0","CL"
"1","CL"
"2","CL"
"3","MG"
"4","MG"
"5","MG"
"6","nan"
"7","CL"
"8","ZN"
"9","ZN"
"10","CA"
"11","CL"
"12","MG"
"13","MG"
"14","ZN"
"15","ZN"
"16","CA"
"17","CA"
"18","MN"
"19","CA"
"20","MG"
"21","CL"
"22","MG"
"23","MN"
"24","CA"
"25","CA"
"26","ZN"
"27","CA"
"28","ZN"
"29","CL"
"30","CA"
"31","CA"
"32","CL"
"33","CL"
"34","FE"
"35","FE"
"36","CA"
"37","CA"
"38","CA"
"39","CA"
"40","ZN"
"41","nan"
"42","ZN"
"43","ZN"
"44","CL"
"45","CA"
"46","CA"
"47","MG"
"48","SF4"
"49","ZN"
"50","CL"
"51","CL"
"52","ZN"
"53","CL"
"54","CL"
"55","CL"
"56","CL"
"57","CA"
"58","CL"
"59","CA"
"60","CL"
"61","CA"
"62","nan"
"63","MN"
"64","CL"
"65","CL"
"66","MG"
"67","ZN"
"68","CL"
"69","CA"
"70","ZN"
"71","CL"
"72","CL"
"73","CL"
"74","CA"
"75","CA"
"76","CA"
"77","CL"
"78","ZN"
"79","MG"
"80","CL"
"81","CA"
"82","CL"
"83","MG"
"84","CL"
"85","CL"
"86","MG"
"87","CA"
"88","CA"
"89","ZN"
"90","CL"
"91","CL"
"92","CL"
"93","ZN"
"94","MG"
"95","ZN"
"96","CL"
"97","CL"
"98","CL"
"99","CL"
"100","ZN"
"101","CA"
"102","CA"
"103","CA"
"104","ZN"
"105","MG"
"106","CL"
"107","CL"
"108","MG"
"109","CL"
"110","MG"
"111","CL"
"112","CA"
"113","CL"
"114","CA"
"115","CA"
"116","MG"
"117","CA"
"118","ZN"
"119","CA"
"120","K"
"121","ZN"
"122","CA"
"123","HEM"
"124","MG"
"125","CL"
"126","CL"
"127","CL"
"128","CL"
"129","ZN"
"130","CL"
"131","CA"
"132","ZN"
"133","ZN"
"134","ZN"
"135","ZN"
"136","CA"
"137","CL"
"138","nan"
"139","MG"
"140","nan"
"141","nan"
"142","ZN"
"143","MG"
"144","ZN"
"145","CL"
"146","MG"
"147","CA"
"148","CA"
"149","CA"
"150","CL"
"151","ZN"
"152","CA"
"153","MG"
"154","ZN"
"155","MG"
"156","ZN"
"157","CL"
"158","CL"
"159","nan"
"160","CA"
"161","CL"
"162","CL"
"163","ZN"
"164","nan"
"165","nan"
"166","nan"
"167","nan"
"168","nan"
"169","MN"
"170","MG"
"171","CL"
"172","ZN"
"173","CL"
"174","CA"
"175","CL"
"176","nan"
"177","ZN"
"178","CA"
"179","MG"
"180","nan"
"181","CA"
"182","CA"
"183","CL"
"184","CL"
"185","MG"
"186","CL"
"187","MG"
"188","CL"
"189","ZN"
"190","SF4"
"191","CA"
"192","ZN"
"193","CL"
"194","CL"
"195","MG"
"196","CA"
"197","MN"
"198","CA"
"199","CL"
"200","CL"
"201","CL"
"202","CA"
"203","nan"
"204","CL"
"205","ZN"
"206","ZN"
"207","CL"
"208","nan"
"209","CA"
"210","ZN"
"211","CL"
"212","CL"
"213","CL"
"214","MG"
"215","CA"
"216","CL"
"217","CL"
"218","nan"
"219","ZN"
"220","MG"
"221","ZN"
"222","ZN"
"223","MG"
"224","CA"
"225","MG"
"226","CA"
"227","CL"
"228","MG"
"229","CA"
"230","MG"
"231","FE"
"232","ZN"
"233","MG"
"234","CA"
"235","CA"
"236","CA"
"237","CL"
"238","ZN"
"239","CL"
"240","MG"
"241","ZN"
"242","ZN"
"243","ZN"
"244","MG"
"245","nan"
"246","nan"
"247","CL"
"248","MG"
"249","CL"
"250","MG"
"251","ZN"
"252","CL"
"253","CA"
"254","MG"
"255","MG"
"256","CA"
"257","nan"
"258","MG"
"259","CA"
"260","MG"
"261","nan"
"262","CL"
"263","ZN"
"264","CA"
"265","CA"
"266","CL"
"267","MG"
"268","CL"
"269","nan"
"270","CL"
"271","nan"
"272","ZN"
"273","FE"
"274","CA"
"275","CL"
"276","ZN"
"277","MN"
"278","CA"
"279","CL"
"280","MG"
"281","CL"
"282","CA"
"283","CA"
"284","MG"
"285","CL"
"286","CA"
"287","CL"
"288","CA"
"289","CA"
"290","CL"
"291","CA"
"292","ZN"
"293","MG"
"294","CA"
"295","CL"
"296","MG"
"297","ZN"
"298","CU"
"299","IMD"
"300","ZN"
"301","CL"
"302","MG"
"303","IOD"
"304","CL"
"305","MN"
"306","CL"
"307","CL"
"308","CL"
"309","CL"
