"","res_name_group"
"0","CL"
"1","nan"
"2","nan"
"3","CA"
"4","MG"
"5","CA"
"6","nan"
"7","CL"
"8","ZN"
"9","ZN"
"10","CA"
"11","CA"
"12","CL"
"13","MG"
"14","CL"
"15","MN"
"16","CL"
"17","MG"
"18","CA"
"19","ZN"
"20","ZN"
"21","CL"
"22","MG"
"23","MN"
"24","CA"
"25","CL"
"26","ZN"
"27","CA"
"28","CA"
"29","CL"
"30","MN"
"31","CA"
"32","CL"
"33","CL"
"34","MN"
"35","CA"
"36","CA"
"37","CA"
"38","ZN"
"39","CA"
"40","CA"
"41","CL"
"42","CL"
"43","CA"
"44","MG"
"45","CA"
"46","nan"
"47","CL"
"48","ZN"
"49","EDO_BME_ETA"
"50","CA"
"51","CL"
"52","ZN"
"53","nan"
"54","CL"
"55","CL"
"56","CL"
"57","CA"
"58","CL"
"59","ZN"
"60","ZN"
"61","CA"
"62","CL"
"63","MN"
"64","MG"
"65","CL"
"66","NAG_NDG_A2G_NGA_MAG"
"67","ZN"
"68","CL"
"69","CA"
"70","ZN"
"71","CL"
"72","CL"
"73","CL"
"74","CA"
"75","MG"
"76","CA"
"77","CL"
"78","MN"
"79","CL"
"80","CL"
"81","CA"
"82","CA"
"83","MG"
"84","MG"
"85","CL"
"86","MG"
"87","CA"
"88","ZN"
"89","CA"
"90","CL"
"91","CL"
"92","CL"
"93","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"94","CL"
"95","ZN"
"96","CL"
"97","CL"
"98","MG"
"99","CA"
"100","CA"
"101","MG"
"102","CA"
"103","CA"
"104","HEM"
"105","MG"
"106","CL"
"107","CL"
"108","CL"
"109","CL"
"110","MG"
"111","CL"
"112","CA"
"113","MG"
"114","CL"
"115","CA"
"116","MG"
"117","MN"
"118","CA"
"119","CA"
"120","CA"
"121","HEM"
"122","CA"
"123","HEM"
"124","CA"
"125","CL"
"126","CA"
"127","CL"
"128","CA"
"129","HEM"
"130","CL"
"131","nan"
"132","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"133","ZN"
"134","SF4_F3S"
"135","CL"
"136","nan"
"137","nan"
"138","nan"
"139","MG"
"140","CL"
"141","nan"
"142","CL"
"143","CL"
"144","ZN"
"145","CL"
"146","MG"
"147","CA"
"148","CA"
"149","MG"
"150","CL"
"151","CA"
"152","CA"
"153","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"154","HEM"
"155","CL"
"156","ZN"
"157","CL"
"158","CL"
"159","MG"
"160","MG"
"161","CL"
"162","CL"
"163","ZN"
"164","nan"
"165","nan"
"166","nan"
"167","nan"
"168","nan"
"169","ZN"
"170","CA"
"171","CL"
"172","HEM"
"173","CL"
"174","CA"
"175","CL"
"176","nan"
"177","MG"
"178","CA"
"179","MG"
"180","MG"
"181","ZN"
"182","CA"
"183","CL"
"184","CL"
"185","NAG_NDG_A2G_NGA_MAG"
"186","CL"
"187","MG"
"188","CL"
"189","ZN"
"190","ZN"
"191","MG"
"192","ZN"
"193","CL"
"194","ZN"
"195","CA"
"196","CA"
"197","CA"
"198","CA"
"199","CL"
"200","MG"
"201","CL"
"202","CA"
"203","CL"
"204","CL"
"205","ZN"
"206","CL"
"207","CL"
"208","CL"
"209","CA"
"210","ZN"
"211","CL"
"212","CL"
"213","CL"
"214","MG"
"215","CL"
"216","CL"
"217","EDO_BME_ETA"
"218","nan"
"219","ZN"
"220","CL"
"221","HEM"
"222","CA"
"223","MG"
"224","CL"
"225","MG"
"226","CA"
"227","CL"
"228","MG"
"229","ZN"
"230","CA"
"231","ZN"
"232","ZN"
"233","MG"
"234","CL"
"235","CA"
"236","CA"
"237","CL"
"238","ZN"
"239","CL"
"240","MG"
"241","CA"
"242","ZN"
"243","ZN"
"244","NAG_NDG_A2G_NGA_MAG"
"245","CL"
"246","nan"
"247","CL"
"248","CL"
"249","CL"
"250","MG"
"251","ZN"
"252","CL"
"253","CA"
"254","MG"
"255","MG"
"256","CA"
"257","MG"
"258","ZN"
"259","CA"
"260","MG"
